1772, #GIRLBOSS, Adsuar, Doreen, Horror, 2.66, 
1855, 'Tis (Frank McCourt #2), Marjanovic, Mabell, Fiction, 8.67, 
1855, 'Tis (Frank McCourt #2), Marjanovic, Mabell, Fiction, 8.67, 
1855, 'Tis (Frank McCourt #2), Marjanovic, Mabell, Fiction, 8.67, 
1747, 10% Happier: How I Tamed the Voice in My Head Reduced Stress Without Losing My Edge and Found Self-Help That Actually Works, Rosenfield, Ples, Comedy, 8.32, 
1965, 100 Bullets Vol. 1: First Shot Last Call, Nicolas Chueca, Merlyn, Comedy, 5.1, 
1965, 100 Bullets Vol. 1: First Shot Last Call, Nicolas Chueca, Merlyn, Comedy, 5.1, 
1965, 100 Bullets Vol. 1: First Shot Last Call, Nicolas Chueca, Merlyn, Comedy, 5.1, 
1959, 100 Love Sonnets, Wasserman, Erlene, Western, 3.78, 
1895, 100 Selected Poems, Dimitrova, Darin, Fantasy, 3.38, 
1856, 1000 Places to See Before You Die, Cortes De Maldonado, Lilly, Horror, 2.68, 
1724, The 101 Dalmatians (The Hundred and One Dalmatians #1), Zsilinszka, Shena, Science-Fiction, 4.41, 
1751, 10th Anniversary (Women's Murder Club #10), Sawyer, Kymani, Dystopian, 4.5, 
1746, 11 Birthdays (Willow Falls #1), Burns, Delphia, Suspense, 8.72, 
1746, 11 Birthdays (Willow Falls #1), Burns, Delphia, Suspense, 8.72, 
1746, 11 Birthdays (Willow Falls #1), Burns, Delphia, Suspense, 8.72, 
1942, 11th Hour (Women's Murder Club #11), Gonzalez, Eber, Comedy, 5.37, 
1830, 12th of Never (Women's Murder Club #12), Kamstra, Tevin, Science-Fiction, 1.98, 
1830, 12th of Never (Women's Murder Club #12), Kamstra, Tevin, Science-Fiction, 1.98, 
1936, 13 Gifts (Willow Falls #3), Matyukhina, Qiana, Drama, 7.48, 
1833, 13 Little Blue Envelopes (Little Blue Envelope #1), Scaff Haddad, Vada, Satire, 4.19, 
1853, The 13½ Lives of Captain Bluebear (Zamonia #1), Puplinkhuisen, Hailie, Fantasy, 8.86, 
